so_number,product_code,quantity,unit_price,line_total,order_date,customer_code,customer_name,province_name,product_name,color,line_name,group_code,group_name,fiscal_year,fiscal_month
BH25.0001,000214004000000,1.0,2305555.56,2305556.0,2025-01-02,KH-00001,HỘ KINH DOANH TÚ ANH,Hà Nội,,,,,,2025,1
BH25.0002,000333002022000,1.0,3509259.26,3509259.0,2025-01-06,KH-00002,CÔNG TY TNHH THƯƠNG MẠI VIỆT ANH,Hà Nội,,,,,,2025,1
BH25.0003,000224002004000,1.0,2398148.15,2398148.0,2025-01-06,KH-00003,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM TIẾN,Hà Nội,,,,,,2025,1
BH25.0004,000217003001000,5.0,2453703.7,12268519.0,2025-01-06,KH-00004,DOANH NGHIỆP TW KHẢI HOÀN,,,,,,,2025,1
BH25.0005,000217002007000,2.0,2212962.96,4425926.0,2025-01-07,KH-00005,CÔNG TY TNHH ĐẠI LỢI,Hà Nội,,,,,,2025,1
BH25.0006,000225002015000,11.0,1898148.0,20879628.0,2025-01-07,KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0006,000226003015000,4.0,2037037.0,8148148.0,2025-01-07,KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,,,,,,2025,1
BH25.0007,000217003001000,5.0,1594907.41,7974537.0,2025-01-08,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,,,,,,2025,1
BH25.0007,000226003015000,2.0,1685185.19,3370370.0,2025-01-08,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,,,,,,2025,1
BH25.0007,000225002004000,28.0,1618981.48,45331481.0,2025-01-08,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,,,,,,2025,1
BH25.0007,000224002004000,13.0,1558796.3,20264352.0,2025-01-08,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,,,,,,2025,1
BH25.0007,000214004000000,6.0,1498611.11,8991667.0,2025-01-08,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,,,,,,2025,1
BH25.0007,000331002004000,17.0,1799537.04,30592130.0,2025-01-08,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,,,,,,2025,1
BH25.0007,1030010000080000,3.0,1289814.81,3869444.0,2025-01-08,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,,,,,,2025,1
BH25.0007,000131002007000,15.0,1197685.19,17965278.0,2025-01-08,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,,,,,,2025,1
BH25.0007,000401002016002,36.0,1516666.67,54600000.0,2025-01-08,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,,,,,,2025,1
BH25.0007,000207004000000,5.0,1498611.11,7493056.0,2025-01-08,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,,,,,,2025,1
BH25.0007,1000300050010000,16.0,2943055.56,47088889.0,2025-01-08,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,,,,,,2025,1
BH25.0008,000224002004000,20.0,2222222.22,44444444.0,2025-01-09,KH-00009,CỬA HÀNG XE ĐẠP THIÊN AN,Hà Nội,,,,,,2025,1
BH25.0009,000218004005000,2.0,3324074.07,6648148.0,2025-01-09,KH-00008,CÔNG TY CỔ PHẦN YÊN BÌNH,Hưng Yên,,,,,,2025,1
BH25.0010,1000270020150000,3.0,500000.0,1500000.0,2025-01-09,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,,,,,,2025,1
BH25.0010,1000270020220000,3.0,500000.0,1500000.0,2025-01-09,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,,,,,,2025,1
BH25.0010,000117002023000,5.0,500000.0,2500000.0,2025-01-09,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,,,,,,2025,1
BH25.0010,000117002023000,10.0,500000.0,5000000.0,2025-01-09,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,,,,,,2025,1
BH25.0010,1000210020090000,3.0,470000.0,1410000.0,2025-01-09,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,,,,,,2025,1
BH25.0010,1000220020090000,3.0,500000.0,1500000.0,2025-01-09,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,,,,,,2025,1
BH25.0010,1040010000080000,3.0,1231481.48,3694444.0,2025-01-09,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,,,,,,2025,1
BH25.0011,000218002007000,1.0,2305555.56,2305556.0,2025-01-09,KH-00011,DOANH NGHIỆP TW NAM TIẾN,Hà Nội,,,,,,2025,1
BH25.0012,000226003015000,1.0,2592592.59,2592593.0,2025-01-10,KH-00012,HỘ KINH DOANH THIÊN AN,Hà Nội,,,,,,2025,1
BH25.0013,000225002007000,1.0,2490740.74,2490741.0,2025-01-10,KH-00013,DOANH NGHIỆP TW THANH BÌNH,Hưng Yên,,,,,,2025,1
BH25.0014,000224002009000,2.0,1130000.0,2260000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
BH25.0014,000224002002000,3.0,1130000.0,3390000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
BH25.0014,000224002015000,2.0,1130000.0,2260000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
BH25.0014,000225002023000,3.0,1180000.0,3540000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
BH25.0014,000225002002000,4.0,1180000.0,4720000.0,2025-01-10,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,,,,,,2025,1
